season,team,round_start,round_end,wins,draws,losses,points,goals_scored,goals_received,position
99/00,Wimbledon FC,1999-12-18,1999-12-19,4,9,5,21,28,30,14
99/00,Newcastle United,1999-12-18,1999-12-19,5,4,9,19,28,32,15
99/00,Southampton FC,1999-12-18,1999-12-19,4,5,9,17,20,29,16
99/00,Bradford City,1999-12-18,1999-12-19,4,5,9,17,16,26,17
99/00,Derby County,1999-12-18,1999-12-19,4,3,11,15,16,29,18
99/00,Watford FC,1999-12-18,1999-12-19,3,2,13,11,14,36,19
99/00,Sheffield Wednesday,1999-12-18,1999-12-19,1,3,14,6,15,43,20
99/00,Manchester United,1999-12-26,1999-12-26,14,3,2,45,49,23,1
99/00,Leeds United,1999-12-26,1999-12-26,14,2,3,44,34,20,2
99/00,Sunderland AFC,1999-12-26,1999-12-26,11,4,4,37,33,22,3
99/00,Arsenal FC,1999-12-26,1999-12-26,11,3,5,36,34,20,4
99/00,Liverpool FC,1999-12-26,1999-12-26,10,4,5,34,28,16,5
99/00,Chelsea FC,1999-12-26,1999-12-26,9,4,6,31,25,19,6
99/00,Tottenham Hotspur,1999-12-26,1999-12-26,9,3,7,30,30,23,7
99/00,West Ham United,1999-12-26,1999-12-26,8,5,6,29,23,20,8
99/00,Leicester City,1999-12-26,1999-12-26,9,2,8,29,27,26,9
99/00,Everton FC,1999-12-26,1999-12-26,7,6,6,27,33,28,10
99/00,Middlesbrough FC,1999-12-26,1999-12-26,8,3,8,27,23,26,11
99/00,Aston Villa,1999-12-26,1999-12-26,7,4,8,25,18,20,12
99/00,Coventry City,1999-12-26,1999-12-26,6,6,7,24,26,22,13
99/00,Wimbledon FC,1999-12-26,1999-12-26,4,10,5,22,30,32,14
99/00,Newcastle United,1999-12-26,1999-12-26,5,5,9,20,30,34,15
99/00,Southampton FC,1999-12-26,1999-12-26,4,5,10,17,21,31,16
99/00,Bradford City,1999-12-26,1999-12-26,4,5,10,17,16,30,17
99/00,Derby County,1999-12-26,1999-12-26,4,3,12,15,16,31,18
99/00,Watford FC,1999-12-26,1999-12-26,3,2,14,11,14,40,19
99/00,Sheffield Wednesday,1999-12-26,1999-12-26,2,3,14,9,16,43,20
99/00,Manchester United,1999-12-28,2000-02-19,14,4,2,46,51,25,1
99/00,Leeds United,1999-12-28,2000-02-19,14,2,4,44,34,22,2
99/00,Arsenal FC,1999-12-28,2000-02-19,12,3,5,39,36,20,3
99/00,Sunderland AFC,1999-12-28,2000-02-19,11,5,4,38,35,24,4
99/00,Liverpool FC,1999-12-28,2000-02-19,11,4,5,37,31,17,5
99/00,Chelsea FC,1999-12-28,2000-02-19,10,4,6,34,28,19,6
99/00,Tottenham Hotspur,1999-12-28,2000-02-19,9,4,7,31,31,24,7
99/00,West Ham United,1999-12-28,2000-02-19,8,6,6,30,24,21,8
99/00,Middlesbrough FC,1999-12-28,2000-02-19,9,3,8,30,25,26,9
99/00,Leicester City,1999-12-28,2000-02-19,9,2,9,29,28,28,10
99/00,Everton FC,1999-12-28,2000-02-19,7,7,6,28,33,28,11
99/00,Aston Villa,1999-12-28,2000-02-19,7,5,8,26,19,21,12
99/00,Coventry City,1999-12-28,2000-02-19,6,6,8,24,26,24,13
99/00,Newcastle United,1999-12-28,2000-02-19,6,5,9,23,32,35,14
99/00,Wimbledon FC,1999-12-28,2000-02-19,4,10,6,22,31,35,15
99/00,Bradford City,1999-12-28,2000-02-19,4,6,10,18,16,30,16
99/00,Southampton FC,1999-12-28,2000-02-19,4,5,11,17,23,34,17
99/00,Derby County,1999-12-28,2000-02-19,4,4,12,16,17,32,18
99/00,Watford FC,1999-12-28,2000-02-19,4,2,14,14,17,42,19
99/00,Sheffield Wednesday,1999-12-28,2000-02-19,2,3,15,9,16,46,20
99/00,Manchester United,2000-01-03,2000-01-29,15,4,2,49,52,25,1
99/00,Leeds United,2000-01-03,2000-01-29,14,2,5,44,35,24,2
99/00,Arsenal FC,2000-01-03,2000-01-29,12,4,5,40,37,21,3
99/00,Sunderland AFC,2000-01-03,2000-01-29,11,5,5,38,35,25,4
99/00,Liverpool FC,2000-01-03,2000-01-29,11,4,6,37,31,18,5
99/00,Chelsea FC,2000-01-03,2000-01-29,10,5,6,35,30,21,6
99/00,Tottenham Hotspur,2000-01-03,2000-01-29,10,4,7,34,32,24,7
99/00,West Ham United,2000-01-03,2000-01-29,8,7,6,31,26,23,8
99/00,Leicester City,2000-01-03,2000-01-29,9,3,9,30,30,30,9
99/00,Middlesbrough FC,2000-01-03,2000-01-29,9,3,9,30,25,27,10
99/00,Everton FC,2000-01-03,2000-01-29,7,8,6,29,35,30,11
99/00,Aston Villa,2000-01-03,2000-01-29,8,5,8,29,21,22,12
99/00,Coventry City,2000-01-03,2000-01-29,6,7,8,25,28,26,13
99/00,Wimbledon FC,2000-01-03,2000-01-29,5,10,6,25,32,35,14
99/00,Newcastle United,2000-01-03,2000-01-29,6,6,9,24,34,37,15
99/00,Southampton FC,2000-01-03,2000-01-29,5,5,11,20,24,34,16
99/00,Derby County,2000-01-03,2000-01-29,5,4,12,19,19,32,17
99/00,Bradford City,2000-01-03,2000-01-29,4,6,11,18,16,31,18
99/00,Watford FC,2000-01-03,2000-01-29,4,2,15,14,17,44,19
99/00,Sheffield Wednesday,2000-01-03,2000-01-29,2,4,15,10,17,47,20
99/00,Manchester United,2000-01-15,2000-02-20,16,4,2,52,53,25,1
99/00,Leeds United,2000-01-15,2000-02-20,14,2,6,44,35,25,2
99/00,Arsenal FC,2000-01-15,2000-02-20,13,4,5,43,41,22,3
99/00,Liverpool FC,2000-01-15,2000-02-20,12,4,6,40,34,20,4
99/00,Sunderland AFC,2000-01-15,2000-02-20,11,5,6,38,36,29,5
99/00,Chelsea FC,2000-01-15,2000-02-20,10,6,6,36,31,22,6
99/00,Tottenham Hotspur,2000-01-15,2000-02-20,10,5,7,35,34,26,7
99/00,West Ham United,2000-01-15,2000-02-20,8,8,6,32,27,24,8
99/00,Leicester City,2000-01-15,2000-02-20,9,4,9,31,31,31,9
99/00,Everton FC,2000-01-15,2000-02-20,7,9,6,30,37,32,10
99/00,Aston Villa,2000-01-15,2000-02-20,8,6,8,30,22,23,11
99/00,Middlesbrough FC,2000-01-15,2000-02-20,9,3,10,30,26,31,12
99/00,Coventry City,2000-01-15,2000-02-20,7,7,8,28,30,26,13
99/00,Newcastle United,2000-01-15,2000-02-20,7,6,9,27,39,37,14
99/00,Wimbledon FC,2000-01-15,2000-02-20,5,10,7,25,32,37,15
99/00,Derby County,2000-01-15,2000-02-20,6,4,12,22,23,33,16
99/00,Southampton FC,2000-01-15,2000-02-20,5,5,12,20,24,39,17
99/00,Bradford City,2000-01-15,2000-02-20,4,6,12,18,16,33,18
99/00,Watford FC,2000-01-15,2000-02-20,4,2,16,14,19,47,19
99/00,Sheffield Wednesday,2000-01-15,2000-02-20,3,4,15,13,19,47,20
99/00,Manchester United,2000-01-22,2000-01-24,16,5,2,53,54,26,1
99/00,Leeds United,2000-01-22,2000-01-24,15,2,6,47,37,26,2
99/00,Arsenal FC,2000-01-22,2000-01-24,13,5,5,44,42,23,3
99/00,Liverpool FC,2000-01-22,2000-01-24,12,5,6,41,34,20,4
99/00,Sunderland AFC,2000-01-22,2000-01-24,11,5,7,38,37,31,5
99/00,Chelsea FC,2000-01-22,2000-01-24,10,7,6,37,31,22,6
99/00,Tottenham Hotspur,2000-01-22,2000-01-24,10,5,8,35,34,27,7
99/00,West Ham United,2000-01-22,2000-01-24,9,8,6,35,30,25,8
99/00,Aston Villa,2000-01-22,2000-01-24,8,7,8,31,22,23,9
99/00,Leicester City,2000-01-22,2000-01-24,9,4,10,31,32,34,10
99/00,Middlesbrough FC,2000-01-22,2000-01-24,9,4,10,31,26,31,11
99/00,Everton FC,2000-01-22,2000-01-24,7,9,7,30,37,34,12
99/00,Coventry City,2000-01-22,2000-01-24,7,8,8,29,30,26,13
99/00,Wimbledon FC,2000-01-22,2000-01-24,6,10,7,28,34,37,14
99/00,Newcastle United,2000-01-22,2000-01-24,7,6,10,27,39,39,15
99/00,Derby County,2000-01-22,2000-01-24,6,5,12,23,23,33,16
99/00,Southampton FC,2000-01-22,2000-01-24,6,5,12,23,26,39,17
99/00,Bradford City,2000-01-22,2000-01-24,5,6,12,21,19,35,18
99/00,Sheffield Wednesday,2000-01-22,2000-01-24,4,4,15,16,20,47,19
99/00,Watford FC,2000-01-22,2000-01-24,4,2,17,14,21,50,20
99/00,Manchester United,2000-02-05,2000-02-06,17,5,2,56,57,28,1
99/00,Leeds United,2000-02-05,2000-02-06,15,2,7,47,38,29,2
99/00,Arsenal FC,2000-02-05,2000-02-06,13,5,6,44,43,25,3
99/00,Liverpool FC,2000-02-05,2000-02-06,13,5,6,44,37,21,4
99/00,Chelsea FC,2000-02-05,2000-02-06,11,7,6,40,32,22,5
99/00,Sunderland AFC,2000-02-05,2000-02-06,11,6,7,39,39,33,6
99/00,Tottenham Hotspur,2000-02-05,2000-02-06,10,5,9,35,34,28,7
99/00,West Ham United,2000-02-05,2000-02-06,9,8,7,35,31,27,8
99/00,Aston Villa,2000-02-05,2000-02-06,9,7,8,34,26,23,9
99/00,Leicester City,2000-02-05,2000-02-06,10,4,10,34,34,35,10
99/00,Everton FC,2000-02-05,2000-02-06,8,9,7,33,40,34,11
99/00,Middlesbrough FC,2000-02-05,2000-02-06,9,4,11,31,27,33,12
99/00,Coventry City,2000-02-05,2000-02-06,7,8,9,29,32,29,13
99/00,Newcastle United,2000-02-05,2000-02-06,7,7,10,28,41,41,14
99/00,Wimbledon FC,2000-02-05,2000-02-06,6,10,8,28,34,40,15
99/00,Southampton FC,2000-02-05,2000-02-06,7,5,12,26,28,40,16
99/00,Derby County,2000-02-05,2000-02-06,6,6,12,24,26,36,17
99/00,Bradford City,2000-02-05,2000-02-06,6,6,12,24,21,36,18
99/00,Sheffield Wednesday,2000-02-05,2000-02-06,4,5,15,17,23,50,19
99/00,Watford FC,2000-02-05,2000-02-06,4,2,18,14,21,54,20
99/00,Manchester United,2000-02-12,2000-02-14,17,5,3,56,57,31,1
99/00,Leeds United,2000-02-12,2000-02-14,16,2,7,50,39,29,2
99/00,Liverpool FC,2000-02-12,2000-02-14,14,5,6,47,38,21,3
99/00,Arsenal FC,2000-02-12,2000-02-14,13,5,7,44,43,26,4
99/00,Chelsea FC,2000-02-12,2000-02-14,12,7,6,43,35,23,5
99/00,Sunderland AFC,2000-02-12,2000-02-14,11,6,8,39,41,36,6
99/00,West Ham United,2000-02-12,2000-02-14,10,8,7,38,36,31,7
99/00,Aston Villa,2000-02-12,2000-02-14,10,7,8,37,30,23,8
99/00,Everton FC,2000-02-12,2000-02-14,9,9,7,36,42,35,9
99/00,Tottenham Hotspur,2000-02-12,2000-02-14,10,5,10,35,34,29,10
99/00,Leicester City,2000-02-12,2000-02-14,10,5,10,35,35,36,11
99/00,Coventry City,2000-02-12,2000-02-14,8,8,9,32,35,31,12
99/00,Newcastle United,2000-02-12,2000-02-14,8,7,10,31,44,41,13
99/00,Middlesbrough FC,2000-02-12,2000-02-14,9,4,12,31,27,37,14
99/00,Southampton FC,2000-02-12,2000-02-14,8,5,12,29,29,40,15
99/00,Wimbledon FC,2000-02-12,2000-02-14,6,10,9,28,35,43,16
99/00,Derby County,2000-02-12,2000-02-14,6,6,13,24,27,38,17
99/00,Bradford City,2000-02-12,2000-02-14,6,6,13,24,25,41,18
99/00,Sheffield Wednesday,2000-02-12,2000-02-14,4,5,16,17,23,51,19
99/00,Watford FC,2000-02-12,2000-02-14,4,3,18,15,22,55,20
99/00,Manchester United,2000-02-26,2000-05-03,17,6,3,57,59,33,1
99/00,Leeds United,2000-02-26,2000-05-03,16,3,7,51,39,29,2
99/00,Arsenal FC,2000-02-26,2000-05-03,14,5,7,47,46,27,3
99/00,Liverpool FC,2000-02-26,2000-05-03,14,5,7,47,38,23,4
99/00,Chelsea FC,2000-02-26,2000-05-03,13,7,6,46,37,24,5
99/00,Sunderland AFC,2000-02-26,2000-05-03,11,7,8,40,42,37,6
99/00,Everton FC,2000-02-26,2000-05-03,10,9,7,39,46,35,7
99/00,Aston Villa,2000-02-26,2000-05-03,10,8,8,38,31,24,8
99/00,Tottenham Hotspur,2000-02-26,2000-05-03,11,5,10,38,35,29,9
99/00,Leicester City,2000-02-26,2000-05-03,11,5,10,38,37,36,10
99/00,West Ham United,2000-02-26,2000-05-03,10,8,8,38,36,35,11
99/00,Newcastle United,2000-02-26,2000-05-03,9,7,10,34,46,41,12
99/00,Coventry City,2000-02-26,2000-05-03,8,8,10,32,35,32,13
99/00,Middlesbrough FC,2000-02-26,2000-05-03,9,5,12,32,27,37,14
99/00,Wimbledon FC,2000-02-26,2000-05-03,6,11,9,29,37,45,15
99/00,Southampton FC,2000-02-26,2000-05-03,8,5,13,29,30,43,16
99/00,Derby County,2000-02-26,2000-05-03,6,7,13,25,28,39,17
99/00,Bradford City,2000-02-26,2000-05-03,6,7,13,25,26,42,18
99/00,Sheffield Wednesday,2000-02-26,2000-05-03,4,5,17,17,23,53,19
99/00,Watford FC,2000-02-26,2000-05-03,4,3,19,15,23,57,20
99/00,Manchester United,2000-03-04,2000-03-05,17,7,3,58,60,34,1
99/00,Leeds United,2000-03-04,2000-03-05,17,3,7,54,42,29,2
99/00,Chelsea FC,2000-03-04,2000-03-05,14,7,6,49,38,24,3
99/00,Arsenal FC,2000-03-04,2000-03-05,14,6,7,48,47,28,4
99/00,Liverpool FC,2000-03-04,2000-03-05,14,6,7,48,39,24,5
99/00,Leicester City,2000-03-04,2000-03-05,12,5,10,41,42,38,6
99/00,West Ham United,2000-03-04,2000-03-05,11,8,8,41,38,36,7
99/00,Everton FC,2000-03-04,2000-03-05,10,10,7,40,47,36,8
99/00,Sunderland AFC,2000-03-04,2000-03-05,11,7,9,40,44,42,9
99/00,Aston Villa,2000-03-04,2000-03-05,10,9,8,39,32,25,10
99/00,Tottenham Hotspur,2000-03-04,2000-03-05,11,6,10,39,36,30,11
99/00,Newcastle United,2000-03-04,2000-03-05,9,7,11,34,46,42,12
99/00,Middlesbrough FC,2000-03-04,2000-03-05,9,6,12,33,28,38,13
99/00,Coventry City,2000-03-04,2000-03-05,8,8,11,32,35,35,14
99/00,Southampton FC,2000-03-04,2000-03-05,8,6,13,30,31,44,15
99/00,Wimbledon FC,2000-03-04,2000-03-05,6,11,10,29,37,49,16
99/00,Derby County,2000-03-04,2000-03-05,7,7,13,28,32,39,17
99/00,Bradford City,2000-03-04,2000-03-05,6,8,13,26,27,43,18
99/00,Sheffield Wednesday,2000-03-04,2000-03-05,4,6,17,18,24,54,19
99/00,Watford FC,2000-03-04,2000-03-05,4,3,20,15,24,59,20
99/00,Manchester United,2000-03-11,2000-03-12,18,7,3,61,63,35,1
99/00,Leeds United,2000-03-11,2000-03-12,18,3,7,57,44,30,2
99/00,Chelsea FC,2000-03-11,2000-03-12,14,8,6,50,39,25,3
99/00,Liverpool FC,2000-03-11,2000-03-12,14,7,7,49,40,25,4
99/00,Arsenal FC,2000-03-11,2000-03-12,14,6,8,48,48,30,5
99/00,Tottenham Hotspur,2000-03-11,2000-03-12,12,6,10,42,43,32,6
99/00,Aston Villa,2000-03-11,2000-03-12,11,9,8,42,33,25,7
99/00,Everton FC,2000-03-11,2000-03-12,10,11,7,41,48,37,8
99/00,Leicester City,2000-03-11,2000-03-12,12,5,11,41,43,40,9
99/00,Sunderland AFC,2000-03-11,2000-03-12,11,8,9,41,45,43,10
99/00,West Ham United,2000-03-11,2000-03-12,11,8,9,41,39,39,11
99/00,Newcastle United,2000-03-11,2000-03-12,10,7,11,37,47,42,12
99/00,Middlesbrough FC,2000-03-11,2000-03-12,10,6,12,36,30,39,13
99/00,Coventry City,2000-03-11,2000-03-12,8,8,12,32,35,36,14
99/00,Wimbledon FC,2000-03-11,2000-03-12,7,11,10,32,39,50,15
99/00,Southampton FC,2000-03-11,2000-03-12,8,6,14,30,33,51,16
99/00,Derby County,2000-03-11,2000-03-12,7,7,14,28,33,42,17
99/00,Bradford City,2000-03-11,2000-03-12,6,8,14,26,28,45,18
99/00,Sheffield Wednesday,2000-03-11,2000-03-12,5,6,17,21,27,55,19
99/00,Watford FC,2000-03-11,2000-03-12,4,3,21,15,24,60,20
99/00,Manchester United,2000-03-18,2000-03-19,19,7,3,64,65,35,1
99/00,Leeds United,2000-03-18,2000-03-19,19,3,7,60,48,31,2
99/00,Liverpool FC,2000-03-18,2000-03-19,15,7,7,52,42,25,3
99/00,Arsenal FC,2000-03-18,2000-03-19,15,6,8,51,50,31,4
99/00,Chelsea FC,2000-03-18,2000-03-19,14,9,6,51,39,25,5
99/00,Tottenham Hotspur,2000-03-18,2000-03-19,12,6,11,42,44,34,6
99/00,Aston Villa,2000-03-18,2000-03-19,11,9,9,42,33,27,7
99/00,Sunderland AFC,2000-03-18,2000-03-19,11,9,9,42,46,44,8
99/00,West Ham United,2000-03-18,2000-03-19,11,9,9,42,39,39,9
99/00,Everton FC,2000-03-18,2000-03-19,10,11,8,41,48,39,10
99/00,Leicester City,2000-03-18,2000-03-19,12,5,12,41,43,42,11
99/00,Newcastle United,2000-03-18,2000-03-19,11,7,11,40,49,42,12
99/00,Middlesbrough FC,2000-03-18,2000-03-19,10,7,12,37,31,40,13
99/00,Coventry City,2000-03-18,2000-03-19,9,8,12,35,39,36,14
99/00,Southampton FC,2000-03-18,2000-03-19,9,6,14,33,35,51,15
99/00,Wimbledon FC,2000-03-18,2000-03-19,7,11,11,32,40,54,16
99/00,Derby County,2000-03-18,2000-03-19,7,7,15,28,33,44,17
99/00,Bradford City,2000-03-18,2000-03-19,6,8,15,26,28,49,18
99/00,Sheffield Wednesday,2000-03-18,2000-03-19,5,6,18,21,27,56,19
99/00,Watford FC,2000-03-18,2000-03-19,5,3,21,18,25,60,20
99/00,Manchester United,2000-03-25,2000-03-26,20,7,3,67,69,35,1
99/00,Leeds United,2000-03-25,2000-03-26,19,3,8,60,49,33,2
99/00,Liverpool FC,2000-03-25,2000-03-26,16,7,7,55,44,26,3
99/00,Arsenal FC,2000-03-25,2000-03-26,16,6,8,54,53,31,4
99/00,Chelsea FC,2000-03-25,2000-03-26,14,10,6,52,40,26,5
99/00,Aston Villa,2000-03-25,2000-03-26,12,9,9,45,35,27,6
99/00,Sunderland AFC,2000-03-25,2000-03-26,12,9,9,45,48,45,7
99/00,West Ham United,2000-03-25,2000-03-26,12,9,9,45,41,40,8
99/00,Leicester City,2000-03-25,2000-03-26,13,5,12,44,45,43,9
99/00,Tottenham Hotspur,2000-03-25,2000-03-26,12,7,11,43,45,35,10
99/00,Everton FC,2000-03-25,2000-03-26,10,11,9,41,49,41,11
99/00,Newcastle United,2000-03-25,2000-03-26,11,7,12,40,50,44,12
99/00,Middlesbrough FC,2000-03-25,2000-03-26,11,7,12,40,32,40,13
99/00,Coventry City,2000-03-25,2000-03-26,9,8,13,35,39,39,14
99/00,Southampton FC,2000-03-25,2000-03-26,9,7,14,34,36,52,15
99/00,Wimbledon FC,2000-03-25,2000-03-26,7,11,12,32,41,56,16
99/00,Derby County,2000-03-25,2000-03-26,7,7,16,28,33,46,17
99/00,Bradford City,2000-03-25,2000-03-26,6,8,16,26,28,53,18
99/00,Sheffield Wednesday,2000-03-25,2000-03-26,5,6,19,21,27,57,19
99/00,Watford FC,2000-03-25,2000-03-26,5,4,21,19,26,61,20
99/00,Manchester United,2000-04-01,2000-04-05,21,7,3,70,76,36,1
99/00,Leeds United,2000-04-01,2000-04-05,19,3,9,60,49,34,2
99/00,Liverpool FC,2000-04-01,2000-04-05,17,7,7,58,47,26,3
99/00,Arsenal FC,2000-04-01,2000-04-05,17,6,8,57,56,32,4
99/00,Chelsea FC,2000-04-01,2000-04-05,15,10,6,55,41,26,5
99/00,Aston Villa,2000-04-01,2000-04-05,13,9,9,48,36,27,6
99/00,Sunderland AFC,2000-04-01,2000-04-05,13,9,9,48,50,46,7
99/00,West Ham United,2000-04-01,2000-04-05,12,9,10,45,42,47,8
99/00,Everton FC,2000-04-01,2000-04-05,11,11,9,44,53,43,9
99/00,Leicester City,2000-04-01,2000-04-05,13,5,13,44,45,46,10
99/00,Tottenham Hotspur,2000-04-01,2000-04-05,12,7,12,43,47,38,11
99/00,Newcastle United,2000-04-01,2000-04-05,12,7,12,43,52,44,12
99/00,Middlesbrough FC,2000-04-01,2000-04-05,12,7,12,43,35,42,13
99/00,Coventry City,2000-04-01,2000-04-05,9,8,14,35,39,42,14
99/00,Southampton FC,2000-04-01,2000-04-05,9,7,15,34,37,54,15
99/00,Wimbledon FC,2000-04-01,2000-04-05,7,11,13,32,42,59,16
99/00,Derby County,2000-04-01,2000-04-05,8,7,16,31,36,46,17
99/00,Bradford City,2000-04-01,2000-04-05,6,8,17,26,28,55,18
99/00,Sheffield Wednesday,2000-04-01,2000-04-05,5,6,20,21,27,58,19
99/00,Watford FC,2000-04-01,2000-04-05,5,4,22,19,28,65,20
99/00,Manchester United,2000-04-08,2000-05-09,22,7,3,73,80,39,1
99/00,Liverpool FC,2000-04-08,2000-05-09,18,7,7,61,49,26,2
99/00,Leeds United,2000-04-08,2000-05-09,19,3,10,60,49,35,3
99/00,Arsenal FC,2000-04-08,2000-05-09,17,7,8,58,59,35,4
99/00,Chelsea FC,2000-04-08,2000-05-09,16,10,6,58,43,27,5
99/00,Aston Villa,2000-04-08,2000-05-09,14,9,9,51,37,27,6
99/00,Sunderland AFC,2000-04-08,2000-05-09,14,9,9,51,52,47,7
99/00,West Ham United,2000-04-08,2000-05-09,13,9,10,48,44,48,8
99/00,Everton FC,2000-04-08,2000-05-09,11,12,9,45,54,44,9
99/00,Leicester City,2000-04-08,2000-05-09,13,6,13,45,46,47,10
99/00,Newcastle United,2000-04-08,2000-05-09,12,7,13,43,53,46,11
99/00,Tottenham Hotspur,2000-04-08,2000-05-09,12,7,13,43,47,40,12
99/00,Middlesbrough FC,2000-04-08,2000-05-09,12,7,13,43,38,46,13
99/00,Southampton FC,2000-04-08,2000-05-09,10,7,15,37,39,55,14
99/00,Coventry City,2000-04-08,2000-05-09,9,8,15,35,40,44,15
99/00,Derby County,2000-04-08,2000-05-09,8,8,16,32,36,46,16
99/00,Wimbledon FC,2000-04-08,2000-05-09,7,11,14,32,43,61,17
99/00,Bradford City,2000-04-08,2000-05-09,6,8,18,26,29,57,18
99/00,Sheffield Wednesday,2000-04-08,2000-05-09,5,7,20,22,30,61,19
99/00,Watford FC,2000-04-08,2000-05-09,5,5,22,20,28,65,20
99/00,Manchester United,2000-04-15,2000-04-16,23,7,3,76,84,39,1
99/00,Liverpool FC,2000-04-15,2000-04-16,19,7,7,64,51,27,2
99/00,Arsenal FC,2000-04-15,2000-04-16,18,7,8,61,63,35,3
99/00,Leeds United,2000-04-15,2000-04-16,19,3,11,60,49,39,4
99/00,Chelsea FC,2000-04-15,2000-04-16,16,10,7,58,43,28,5
99/00,Aston Villa,2000-04-15,2000-04-16,15,9,9,54,41,29,6
99/00,Sunderland AFC,2000-04-15,2000-04-16,14,9,10,51,52,51,7
99/00,West Ham United,2000-04-15,2000-04-16,14,9,10,51,46,49,8
99/00,Everton FC,2000-04-15,2000-04-16,12,12,9,48,58,44,9
99/00,Leicester City,2000-04-15,2000-04-16,14,6,13,48,48,47,10
99/00,Newcastle United,2000-04-15,2000-04-16,12,7,14,43,53,48,11
99/00,Tottenham Hotspur,2000-04-15,2000-04-16,12,7,14,43,49,44,12
99/00,Middlesbrough FC,2000-04-15,2000-04-16,12,7,14,43,39,48,13
99/00,Southampton FC,2000-04-15,2000-04-16,11,7,15,40,41,55,14
99/00,Coventry City,2000-04-15,2000-04-16,10,8,15,38,42,45,15
99/00,Derby County,2000-04-15,2000-04-16,8,8,17,32,37,48,16
99/00,Wimbledon FC,2000-04-15,2000-04-16,7,11,15,32,44,63,17
99/00,Bradford City,2000-04-15,2000-04-16,6,8,19,26,29,61,18
99/00,Sheffield Wednesday,2000-04-15,2000-04-16,6,7,20,25,31,61,19
99/00,Watford FC,2000-04-15,2000-04-16,5,5,23,20,28,67,20
99/00,Manchester United,2000-04-21,2000-04-23,24,7,3,79,87,40,1
99/00,Liverpool FC,2000-04-21,2000-04-23,19,8,7,65,51,27,2
99/00,Arsenal FC,2000-04-21,2000-04-23,19,7,8,64,66,37,3
99/00,Leeds United,2000-04-21,2000-04-23,19,4,11,61,51,41,4
99/00,Chelsea FC,2000-04-21,2000-04-23,16,11,7,59,44,29,5
99/00,Aston Villa,2000-04-21,2000-04-23,15,10,9,55,43,31,6
99/00,Sunderland AFC,2000-04-21,2000-04-23,15,9,10,54,54,51,7
99/00,West Ham United,2000-04-21,2000-04-23,15,9,10,54,51,49,8
99/00,Everton FC,2000-04-21,2000-04-23,12,13,9,49,58,44,9
99/00,Leicester City,2000-04-21,2000-04-23,14,7,13,49,50,49,10
99/00,Tottenham Hotspur,2000-04-21,2000-04-23,13,7,14,46,51,44,11
99/00,Newcastle United,2000-04-21,2000-04-23,12,8,14,44,55,50,12
99/00,Middlesbrough FC,2000-04-21,2000-04-23,12,8,14,44,40,49,13
99/00,Southampton FC,2000-04-21,2000-04-23,11,7,16,40,42,58,14
99/00,Coventry City,2000-04-21,2000-04-23,10,8,16,38,42,50,15
99/00,Derby County,2000-04-21,2000-04-23,8,9,17,33,41,52,16
99/00,Wimbledon FC,2000-04-21,2000-04-23,7,11,16,32,44,65,17
99/00,Bradford City,2000-04-21,2000-04-23,6,9,19,27,33,65,18
99/00,Sheffield Wednesday,2000-04-21,2000-04-23,6,7,21,25,31,63,19
99/00,Watford FC,2000-04-21,2000-04-23,5,5,24,20,30,70,20
99/00,Manchester United,2000-03-15,2000-05-03,25,7,3,82,90,42,1
99/00,Arsenal FC,2000-03-15,2000-05-03,20,7,8,67,68,38,2
99/00,Liverpool FC,2000-03-15,2000-05-03,19,9,7,66,51,27,3
99/00,Leeds United,2000-03-15,2000-05-03,20,4,11,64,54,42,4
99/00,Chelsea FC,2000-03-15,2000-05-03,16,11,8,59,46,32,5
99/00,Aston Villa,2000-03-15,2000-05-03,15,11,9,56,43,31,6
99/00,Sunderland AFC,2000-03-15,2000-05-03,15,9,11,54,54,52,7
99/00,West Ham United,2000-03-15,2000-05-03,15,9,11,54,52,51,8
99/00,Everton FC,2000-03-15,2000-05-03,12,13,10,49,58,45,9
99/00,Tottenham Hotspur,2000-03-15,2000-05-03,14,7,14,49,52,44,10
99/00,Leicester City,2000-03-15,2000-05-03,14,7,14,49,50,50,11
99/00,Newcastle United,2000-03-15,2000-05-03,12,9,14,45,57,52,12
99/00,Middlesbrough FC,2000-03-15,2000-05-03,12,9,14,45,42,51,13
99/00,Coventry City,2000-03-15,2000-05-03,11,8,16,41,43,50,14
99/00,Southampton FC,2000-03-15,2000-05-03,11,7,17,40,42,60,15
99/00,Derby County,2000-03-15,2000-05-03,9,9,17,36,43,52,16
99/00,Wimbledon FC,2000-03-15,2000-05-03,7,11,17,32,44,67,17
99/00,Bradford City,2000-03-15,2000-05-03,7,9,19,30,34,65,18
99/00,Sheffield Wednesday,2000-03-15,2000-05-03,7,7,21,28,33,63,19
99/00,Watford FC,2000-03-15,2000-05-03,5,5,25,20,31,73,20
99/00,Manchester United,2000-04-29,2000-04-30,26,7,3,85,93,44,1
99/00,Arsenal FC,2000-04-29,2000-04-30,21,7,8,70,69,38,2
99/00,Leeds United,2000-04-29,2000-04-30,21,4,11,67,57,42,3
99/00,Liverpool FC,2000-04-29,2000-04-30,19,9,8,66,51,29,4
99/00,Chelsea FC,2000-04-29,2000-04-30,17,11,8,62,48,32,5
99/00,Aston Villa,2000-04-29,2000-04-30,15,12,9,57,44,32,6
99/00,Sunderland AFC,2000-04-29,2000-04-30,15,10,11,55,55,53,7
